|WNJT-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -19961001KE  |0.     kW |0.11   kW |0.0     |210.0   |48488      |N |40 |16 |58.00 |W |74  |41 |11.00 |NEW YORK PUBLIC RADIO                                                       |  13.91 km |   8.64 mi |277.39 deg |0.0    m|244.   m|-         |-       |1045124 |226.   m|233490    |
|WBAI        |99.5  MHz |FS |258 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLED  -20171128ABL |4.5    kW |4.5    kW |386.7   |386.7   |51249      |N |40 |44 |53.60 |W |73  |59 |10.60 |PACIFICA FOUNDATION, INC.                                                   |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1772846   |
|WBAI        |99.5  MHz |FA |258 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |51249      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|293530    |
|W258BM      |99.5  MHz |FX |258 |DA  |-                   |D  |-  |LIC    |BETHLEHEM                |PA |US |BLFT   -20171023ABM |0.09   kW |0.09   kW |0.0     |0.0     |141564     |N |40 |37 |13.00 |W |75  |17 |37.00 |WHOL RADIO INC                                                              |  76.16 km |  47.33 mi |301.36 deg |304.   m|304.0  m|127732    |0.      |1025306 |56.    m|1770001   |
|WBHX        |99.7  MHz |FM |259 |DA  |-                   |A  |-  |APP    |TUCKERTON                |NJ |US |BSTA   -20181022AAD |0.45   kW |0.45   kW |37.0    |37.0    |56233      |N |39 |37 |53.00 |W |74  |21 |11.60 |PRESS COMMUNICATIONS, L.L.C.                                                |  72.05 km |  44.77 mi |168.29 deg |56.4   m|56.4   m|133413    |0.      |1210613 |45.7   m|1794776   |
|WODE-FM     |99.9  MHz |FM |260 |ND  |-                   |B  |-  |LIC    |EASTON                   |PA |US |BMLH   -19960709KC  |50.    kW |50.    kW |137.0   |137.0   |8595       |N |40 |42 |30.00 |W |75  |13 |0.00  |CONNOISSEUR MEDIA LICENSES, LLC                                             |  76.49 km |  47.53 mi |310.20 deg |268.   m|268.0  m|-         |-       |-       |115.   m|228827    |
|WHHS        |99.9  MHz |FM |260 |ND  |-                   |D  |-  |LIC    |HAVERTOWN                |PA |US |BLED   -20051007ABO |0.0095 kW |0.0095 kW |49.0    |49.0    |59344      |N |39 |58 |59.00 |W |75  |18 |10.00 |SCHOOL DISTRICT OF HAVERFORD TOWNSHIP                                       |  73.46 km |  45.65 mi |244.76 deg |113.   m|113.0  m|-         |-       |-       |23.    m|1083182   |
|WODE-FM     |99.9  MHz |FA |260 |ND  |-                   |B  |-  |USE    |EASTON                   |PA |US |-      --           |-      kW |-      kW |-       |-       |8595       |N |40 |42 |30.00 |W |75  |13 |0.00  |-                                                                           |  76.49 km |  47.53 mi |310.20 deg |-      m|-      m|-         |-       |-       |0.     m|293675    |
|W260CZ      |99.9  MHz |FX |260 |DA  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLFT   -20170810ABR |0.05   kW |0.05   kW |0.0     |0.0     |151789     |N |40 |0  |57.00 |W |75  |6  |39.00 |AZTEC CAPITAL PARTNERS, INC.                                                |  57.23 km |  35.56 mi |240.95 deg |82.    m|82.0   m|127677    |0.      |1055890 |59.    m|1763960   |
|WJRZ-FM     |100.1 MHz |FM |261 |ND  |-                   |A  |-  |LIC    |MANAHAWKIN               |NJ |US |BMLH   -20070910ACP |1.7    kW |1.7    kW |133.0   |133.0   |31078      |N |39 |47 |54.00 |W |74  |12 |10.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  58.81 km |  36.54 mi |152.18 deg |149.   m|149.0  m|-         |-       |1046136 |143.   m|1202602   |
|WJRZ-FM     |100.1 MHz |FS |261 |ND  |-                   |A  |-  |LIC    |MANAHAWKIN               |NJ |US |BXLH   -20070910ACQ |2.6    kW |2.6    kW |108.0   |108.0   |31078      |N |39 |47 |54.00 |W |74  |12 |10.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  58.81 km |  36.54 mi |152.18 deg |120.   m|120.0  m|-         |-       |1046136 |114.   m|1202603   |
|WJRZ-FM     |100.1 MHz |FA |261 |ND  |-                   |A  |-  |USE    |MANAHAWKIN               |NJ |US |-      --           |-      kW |-      kW |-       |-       |31078      |N |39 |47 |53.00 |W |74  |12 |12.00 |-                                                                           |  58.82 km |  36.55 mi |152.24 deg |-      m|-      m|-         |-       |-       |0.     m|288537    |
|WHTZ        |100.3 MHz |FM |262 |ND  |-                   |B  |-  |LIC    |NEWARK                   |NJ |US |BLH    -19940204KD  |6.     kW |6.     kW |415.0   |415.0   |59953      |N |40 |44 |54.00 |W |73  |59 |10.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|194659    |
|WHTZ        |100.3 MHz |FS |262 |ND  |-                   |B  |-  |LIC    |NEWARK                   |NJ |US |BXLH   -20040714ABF |13.    kW |13.    kW |281.0   |281.0   |59953      |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |281.   m|1005076   |
|WHTZ        |100.3 MHz |FS |262 |ND  |-                   |B  |-  |LIC    |NEWARK                   |NJ |US |BXLH   -20171013AAU |7.1    kW |7.1    kW |386.7   |386.7   |59953      |N |40 |44 |53.60 |W |73  |59 |10.50 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769202   |
|WHTZ        |100.3 MHz |FA |262 |ND  |-                   |B  |-  |USE    |NEWARK                   |NJ |US |-      --           |-      kW |-      kW |-       |-       |59953      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|293845    |
|WRNB        |100.3 MHz |FM |262 |DA  |-                   |B  |-  |LIC    |MEDIA                    |PA |US |BLH    -20030424ABN |17.    kW |17.    kW |263.0   |263.0   |25079      |N |40 |2  |36.00 |W |75  |14 |33.00 |RADIO ONE LICENSES, LLC                                                     |  66.04 km |  41.03 mi |248.08 deg |329.   m|329.0  m|36591     |0.      |1035183 |253.   m|658306    |
|WRNB        |100.3 MHz |FS |262 |DA  |-                   |B  |-  |LIC    |MEDIA                    |PA |US |BLH    -19980813KB  |17.    kW |16.5   kW |259.0   |259.0   |25079      |N |40 |2  |36.00 |W |75  |14 |33.00 |RADIO ONE LICENSES, LLC                                                     |  66.04 km |  41.03 mi |248.08 deg |325.   m|325.0  m|15469     |0.      |1035183 |249.   m|272600    |
|W264AM      |100.5 MHz |FX |263 |DA  |-                   |D  |-  |CP     |TOMS RIVER               |NJ |US |BPFT   -20170227AAC |0.25   kW |0.25   kW |0.0     |0.0     |77770      |N |39 |57 |6.00  |W |74  |12 |12.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  44.42 km |  27.60 mi |141.99 deg |96.    m|96.0   m|126947    |0.      |1046133 |94.    m|1751967   |
|W264AM      |100.7 MHz |FX |264 |ND  |-                   |D  |-  |LIC    |TOMS RIVER               |NJ |US |BLFT   -19971104TA  |0.055  kW |0.055  kW |54.0    |54.0    |77770      |N |39 |57 |7.00  |W |74  |12 |9.00  |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  44.44 km |  27.61 mi |141.89 deg |65.    m|65.0   m|-         |-       |1046133 |61.    m|256369    |
|W264BT      |100.7 MHz |FX |264 |DA  |-                   |D  |-  |LIC    |EDISON                   |NJ |US |BLFT   -20130821ADH |0.2    kW |0.2    kW |69.5    |0.0     |143711     |N |40 |31 |45.10 |W |74  |23 |33.80 |RAHUL WALIA                                                                 |  31.20 km |  19.39 mi | 20.85 deg |99.    m|99.0   m|111840    |2.      |1045848 |66.    m|1569588   |
|W264CW      |100.7 MHz |FX |264 |ND  |-                   |D  |-  |LIC    |ROOSEVELT                |NJ |US |BLFT   -20170131ABN |0.     kW |0.1    kW |0.0     |0.0     |140947     |N |40 |10 |17.00 |W |74  |25 |25.00 |BEST MEDIA, INC.                                                            |  13.63 km |   8.47 mi |141.14 deg |0.0    m|59.    m|126753    |-       |-       |6.     m|1749869   |
|W264DH      |100.7 MHz |FX |264 |ND  |-                   |D  |-  |LIC    |EATONTOWN                |NJ |US |BLFT   -20170607ABF |0.021  kW |0.021  kW |74.9    |0.0     |156685     |N |40 |16 |41.00 |W |74  |4  |51.00 |PRESS COMMUNICATIONS, LLC                                                   |  37.73 km |  23.45 mi | 87.96 deg |174.   m|174.0  m|81205     |-       |1237989 |148.   m|1757994   |
|W264CW      |100.7 MHz |FX |264 |DA  |-                   |D  |-  |CP     |ROOSEVELT                |NJ |US |BPFT   -20170717AAV |0.049  kW |0.049  kW |0.0     |0.0     |140947     |N |40 |6  |23.00 |W |74  |28 |51.00 |BEST MEDIA, INC.                                                            |  18.20 km |  11.31 mi |168.31 deg |144.   m|144.0  m|127907    |0.      |1052983 |82.    m|1760476   |
|W264DH      |100.7 MHz |FX |264 |DA  |-                   |D  |-  |CP     |EATONTOWN                |NJ |US |BPFT   -20171213ABR |0.125  kW |0.125  kW |0.0     |0.0     |156685     |N |40 |16 |41.00 |W |74  |4  |51.00 |PRESS COMMUNICATIONS, LLC                                                   |  37.73 km |  23.45 mi | 87.96 deg |141.   m|141.0  m|130388    |0.      |1237989 |115.   m|1774134   |
|W264BH      |100.7 MHz |FX |264 |DA  |-                   |D  |-  |LIC    |MOUNT HOLLY              |NJ |US |BLFT   -20180619ABI |0.25   kW |0.25   kW |0.0     |0.0     |143931     |N |40 |0  |36.00 |W |74  |55 |54.00 |SPECTRUM DEVELOPMENT GROUP, LLC                                             |  44.93 km |  27.92 mi |230.62 deg |90.    m|90.0   m|128008    |0.      |1027977 |66.    m|1787104   |
|W264BH      |100.7 MHz |FX |264 |DA  |-                   |D  |-  |CP     |MOUNT HOLLY              |NJ |US |BPFT   -20180803AAG |0.099  kW |0.099  kW |0.0     |0.0     |143931     |N |39 |57 |9.00  |W |75  |10 |6.00  |SPECTRUM DEVELOPMENT GROUP, LLC                                             |  65.07 km |  40.43 mi |237.67 deg |247.   m|247.0  m|133444    |0.      |1245622 |234.   m|1789075   |
|W265CS      |100.9 MHz |FX |265 |ND  |-                   |D  |-  |LIC    |MANAHAWKIN               |NJ |US |BLFT   -20180416AAN |0.046  kW |0.046  kW |0.0     |0.0     |138241     |N |39 |42 |56.50 |W |74  |17 |31.00 |MARANATHA MINISTRIES/JOY COMMUNICATIONS, INC.                               |  64.33 km |  39.97 mi |162.03 deg |122.   m|122.0  m|129538    |-       |1038028 |104.   m|1783149   |
|WCBS-FM     |101.1 MHz |FM |266 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -20060301ABK |6.7    kW |6.7    kW |408.0   |408.0   |9611       |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |422.   m|422.0  m|-         |-       |1007048 |407.   m|1115452   |
|WCBS-FM     |101.1 MHz |FS |266 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXMLH  -20030806AAZ |16.8   kW |16.8   kW |224.0   |224.0   |9611       |N |40 |45 |28.00 |W |73  |59 |12.00 |ENTERCOM LICENSE, LLC                                                       |  71.05 km |  44.15 mi | 39.60 deg |241.   m|241.0  m|-         |-       |-       |226.   m|677262    |
|WCBS-FM     |101.1 MHz |FS |266 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20070410AAC |7.2    kW |7.2    kW |397.0   |397.0   |9611       |N |40 |44 |53.60 |W |73  |59 |10.50 |ENTERCOM LICENSE, LLC                                                       |  70.26 km |  43.66 mi | 40.18 deg |410.5  m|410.5  m|-         |-       |1007048 |395.   m|1244765   |
|WCBS-FM     |101.1 MHz |FS |266 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171010ACD |7.6    kW |7.6    kW |386.7   |386.7   |9611       |N |40 |44 |53.60 |W |73  |59 |10.50 |ENTERCOM LICENSE, LLC                                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768718   |
|WCBS-FM     |101.1 MHz |FA |266 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |9611       |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|294190    |
|WBEB        |101.1 MHz |FM |266 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -20160603AAO |14.    kW |14.    kW |287.0   |287.0   |71382      |N |40 |2  |19.00 |W |75  |14 |14.00 |ENTERCOM LICENSE, LLC                                                       |  65.82 km |  40.90 mi |247.51 deg |354.   m|354.0  m|-         |-       |1026755 |280.   m|1730582   |
|WBEB        |101.1 MHz |FS |266 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLH  -20090508ABK |12.    kW |12.    kW |308.0   |308.0   |71382      |N |40 |2  |30.00 |W |75  |14 |24.00 |ENTERCOM LICENSE, LLC                                                       |  65.91 km |  40.96 mi |247.86 deg |376.   m|376.0  m|-         |-       |1027110 |308.   m|1311612   |
|WBEB        |101.1 MHz |FS |266 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMXLH  -20111216ABY |12.    kW |12.    kW |308.0   |308.0   |71382      |N |40 |2  |30.00 |W |75  |14 |23.00 |ENTERCOM LICENSE, LLC                                                       |  65.89 km |  40.94 mi |247.85 deg |376.   m|376.0  m|-         |-       |1027110 |308.   m|1480511   |
|WBEB        |101.1 MHz |FA |266 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |71382      |N |40 |2  |21.00 |W |75  |14 |13.00 |-                                                                           |  65.78 km |  40.87 mi |247.55 deg |-      m|-      m|-         |-       |-       |0.     m|294200    |
|WKXW        |101.5 MHz |FM |268 |ND  |-                   |B  |-  |LIC    |TRENTON                  |NJ |US |BMLH   -20070926AKD |15.5   kW |15.5   kW |275.0   |275.0   |53458      |N |40 |16 |58.00 |W |74  |41 |11.00 |TOWNSQUARE MEDIA TRENTON LICENSE, LLC                                       |  13.91 km |   8.64 mi |277.39 deg |311.3  m|311.3  m|-         |-       |1045124 |293.   m|1208141   |
|WKXW        |101.5 MHz |FS |268 |ND  |-                   |B  |-  |LIC    |TRENTON                  |NJ |US |BXMLH  -20060627AAZ |19.    kW |19.    kW |245.0   |245.0   |53458      |N |40 |16 |58.00 |W |74  |41 |11.00 |TOWNSQUARE MEDIA TRENTON LICENSE, LLC                                       |  13.91 km |   8.64 mi |277.39 deg |279.   m|279.0  m|-         |-       |1045124 |261.   m|1134861   |
|WKXW        |101.5 MHz |FA |268 |ND  |-                   |B  |-  |USE    |TRENTON                  |NJ |US |-      --           |-      kW |-      kW |-       |-       |53458      |N |40 |17 |0.00  |W |74  |41 |20.00 |-                                                                           |  14.12 km |   8.78 mi |277.53 deg |-      m|-      m|-         |-       |-       |0.     m|294302    |
|NEW         |101.5 MHz |FX |268 |DA  |-                   |D  |-  |APP    |MANHATTAN                |NY |US |BNPFT  -20030317ALO |0.01   kW |0.01   kW |250.3   |0.0     |148148     |N |40 |45 |21.90 |W |73  |59 |12.00 |RIVER VALE MEDIA FOUNDATION, INC.                                           |  70.90 km |  44.06 mi | 39.70 deg |265.   m|265.0  m|16154     |350.    |1065696 |250.   m|1548625   |
|NEW         |101.5 MHz |FX |268 |DA  |-                   |D  |-  |APP    |MANHATTAN                |NY |US |BNPFT  -20130830ABH |0.01   kW |0.01   kW |250.3   |0.0     |148148     |N |40 |45 |21.90 |W |73  |59 |12.00 |RIVER VALE MEDIA FOUNDATION, INC.                                           |  70.90 km |  44.06 mi | 39.70 deg |265.   m|265.0  m|16154     |350.    |1238745 |250.   m|1570294   |
|NEW         |101.5 MHz |FX |268 |DA  |-                   |D  |-  |APP    |MANHATTAN                |NY |US |BNPFT  -20130830ABH |0.01   kW |0.01   kW |0.0     |0.0     |148148     |N |40 |45 |8.80  |W |73  |58 |6.00  |RIVER VALE MEDIA FOUNDATION, INC.                                           |  71.61 km |  44.49 mi | 40.85 deg |284.   m|284.0  m|120072    |0.      |1276815 |275.   m|1656049   |
|WFAN-FM     |101.9 MHz |FM |270 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -20170328AAC |6.     kW |6.     kW |415.0   |415.0   |67846      |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |428.   m|428.0  m|-         |-       |1007048 |413.   m|1753882   |
|WFAN-FM     |101.9 MHz |FS |270 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19950905KC  |4.6    kW |3.3    kW |373.0   |373.0   |67846      |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |387.   m|387.0  m|-         |-       |-       |371.   m|213417    |
|WFAN-FM     |101.9 MHz |FS |270 |DA  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20020129AAE |29.5   kW |29.5   kW |194.0   |194.0   |67846      |N |40 |47 |17.00 |W |74  |15 |19.00 |ENTERCOM LICENSE, LLC                                                       |  62.20 km |  38.65 mi | 21.33 deg |259.   m|259.0  m|36346     |0.      |1044879 |70.    m|615648    |
|WFAN-FM     |101.9 MHz |FS |270 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20060914AAU |0.39   kW |0.39   kW |396.0   |396.0   |67846      |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |410.5  m|410.5  m|-         |-       |1007048 |395.   m|1136521   |
|WFAN-FM     |101.9 MHz |FS |270 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171012AAA |7.1    kW |7.1    kW |386.7   |386.7   |67846      |N |40 |44 |53.60 |W |73  |59 |10.50 |ENTERCOM LICENSE, LLC                                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769094   |
|WFAN-FM     |101.9 MHz |FA |270 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |67846      |N |40 |42 |43.00 |W |74  |0  |49.00 |-                                                                           |  65.70 km |  40.83 mi | 40.94 deg |-      m|-      m|-         |-       |-       |0.     m|294508    |
|WIOQ        |102.1 MHz |FM |271 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -19980922KB  |27.    kW |27.    kW |204.0   |204.0   |20348      |N |40 |2  |37.00 |W |75  |14 |32.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  66.01 km |  41.01 mi |248.10 deg |271.   m|271.0  m|-         |-       |1026707 |191.   m|274151    |
|WIOQ        |102.1 MHz |FS |271 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19980922KC  |32.    kW |32.    kW |172.0   |172.0   |20348      |N |40 |2  |37.00 |W |75  |14 |32.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  66.01 km |  41.01 mi |248.10 deg |239.   m|239.0  m|-         |-       |1026707 |158.   m|274152    |
|WIOQ        |102.1 MHz |FA |271 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |20348      |N |40 |2  |37.00 |W |75  |14 |32.00 |-                                                                           |  66.01 km |  41.01 mi |248.10 deg |-      m|-      m|-         |-       |-       |0.     m|294563    |
|WUPC-LP     |102.3 MHz |FL |272 |ND  |-                   |L1 |-  |LIC    |ARROWHEAD VILLAGE        |NJ |US |BLL    -20031210AAZ |0.1    kW |0.1    kW |28.0    |0.0     |133835     |N |40 |4  |58.00 |W |74  |6  |22.00 |RADIO ALERTA                                                                |  41.06 km |  25.51 mi |119.81 deg |39.    m|0.0    m|-         |-       |-       |17.    m|694930    |
|NEW         |102.3 MHz |FL |272 |ND  |-                   |L1 |-  |CP     |HAZLET                   |NJ |US |BNPL   -20131112AGC |0.012  kW |0.     kW |85.0    |0.0     |194082     |N |40 |22 |33.00 |W |74  |8  |48.00 |HAZLER HISPANIC COMMUNITY RADIO                                             |  34.30 km |  21.31 mi | 69.14 deg |106.   m|0.0    m|-         |-       |-       |33.    m|1698386   |
|W272BH      |102.3 MHz |FX |272 |ND  |-                   |D  |-  |LIC    |NEW GRETNA               |NJ |US |BLFT   -20080701AFE |0.038  kW |0.038  kW |69.8    |0.0     |141574     |N |39 |36 |17.00 |W |74  |26 |4.00  |HOPE CHRISTIAN CHURCH OF MARLTON, INC.                                      |  73.92 km |  45.93 mi |174.04 deg |76.    m|76.0   m|81610     |-       |1046068 |71.    m|1253172   |
|W272CU      |102.3 MHz |FX |272 |ND  |-                   |D  |-  |LIC    |STAFFORD TOWNSHIP        |NJ |US |BLFT   -20130408ABV |0.     kW |0.006  kW |18.7    |0.0     |81237      |N |39 |43 |15.00 |W |74  |16 |41.00 |PENN-JERSEY EDUCATIONAL RADIO CORP.                                         |  64.17 km |  39.87 mi |160.87 deg |0.0    m|33.    m|112142    |-       |-       |15.    m|1550114   |
|WBQE-LP     |102.3 MHz |FL |272 |ND  |-                   |L1 |-  |LIC    |BROOKLYN                 |NY |US |BLL    -20171106AAA |0.01   kW |0.01   kW |94.0    |0.0     |195203     |N |40 |35 |54.30 |W |74  |7  |38.70 |EDUCATIONAL LAB INC.                                                        |  49.89 km |  31.00 mi | 42.20 deg |105.2  m|0.0    m|-         |-       |-       |15.2   m|1771045   |
|W283BR      |102.3 MHz |FX |272 |DA  |-                   |D  |-  |CP MOD |NEW YORK                 |NY |US |BMPFT  -20181126AAM |0.25   kW |0.25   kW |0.0     |0.0     |20656      |N |40 |50 |58.60 |W |74  |10 |58.70 |SALEM MEDIA OF NEW YORK, LLC                                                |  70.87 km |  44.04 mi | 23.87 deg |165.   m|165.0  m|134078    |0.      |1241952 |104.   m|1796458   |
|W273AO      |102.5 MHz |FX |273 |DA  |-                   |D  |-  |LIC    |WHITING                  |NJ |US |BLFT   -20050322AEJ |0.     kW |0.04   kW |0.0     |41.7    |151871     |N |39 |57 |15.00 |W |74  |22 |52.00 |WYRS BROADCASTING                                                           |  36.80 km |  22.87 mi |160.66 deg |0.0    m|72.    m|31326     |340.    |-       |20.    m|1053048   |
|W273DO      |102.5 MHz |FX |273 |DA  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLFT   -20180626AAO |0.     kW |0.099  kW |0.0     |0.0     |138663     |N |39 |56 |58.60 |W |75  |10 |14.40 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  65.41 km |  40.64 mi |237.52 deg |0.0    m|142.   m|125826    |0.      |1207863 |130.   m|1787240   |
|WNEW-FM     |102.7 MHz |FM |274 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19940204KH  |6.     kW |6.     kW |415.0   |415.0   |25442      |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|194664    |
|WNEW-FM     |102.7 MHz |FS |274 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -19950407KC  |4.6    kW |3.3    kW |373.0   |373.0   |25442      |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |387.   m|387.0  m|-         |-       |-       |371.   m|207981    |
|WNEW-FM     |102.7 MHz |FS |274 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19980217KH  |50.    kW |50.    kW |86.0    |86.0    |25442      |N |40 |48 |15.00 |W |74  |6  |29.00 |ENTERCOM LICENSE, LLC                                                       |  69.31 km |  43.06 mi | 30.35 deg |119.   m|119.0  m|29530     |-       |1042785 |118.   m|262529    |
|WNEW-FM     |102.7 MHz |FS |274 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171012AAB |7.1    kW |7.1    kW |386.7   |386.7   |25442      |N |40 |44 |53.60 |W |73  |59 |10.50 |ENTERCOM LICENSE, LLC                                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769095   |
|WNEW-FM     |102.7 MHz |FA |274 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |25442      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|294851    |
|WMGK        |102.9 MHz |FM |275 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -20001030AAV |8.9    kW |8.9    kW |350.0   |350.0   |25094      |N |40 |2  |21.00 |W |75  |14 |13.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.78 km |  40.87 mi |247.55 deg |416.   m|416.0  m|-         |-       |1026755 |342.   m|533345    |
|WMGK        |102.9 MHz |FS |275 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19841121LO  |12.    kW |12.    kW |308.0   |308.0   |25094      |N |40 |2  |30.00 |W |75  |14 |24.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.91 km |  40.96 mi |247.86 deg |375.   m|375.0  m|-         |-       |1027110 |308.   m|74252     |
|WMGK        |102.9 MHz |FS |275 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -19961106KE  |43.    kW |43.    kW |162.0   |162.0   |25094      |N |40 |2  |21.00 |W |75  |14 |13.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.78 km |  40.87 mi |247.55 deg |226.   m|226.0  m|-         |-       |1026755 |152.   m|235201    |
|WMGK        |102.9 MHz |FS |275 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLH  -20090507ACK |12.    kW |12.    kW |308.0   |308.0   |25094      |N |40 |2  |30.00 |W |75  |14 |24.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.91 km |  40.96 mi |247.86 deg |375.   m|375.0  m|-         |-       |1027110 |308.   m|1311438   |
|WMGK        |102.9 MHz |FA |275 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |25094      |N |40 |2  |21.00 |W |75  |14 |13.00 |-                                                                           |  65.78 km |  40.87 mi |247.55 deg |-      m|-      m|-         |-       |-       |0.     m|294918    |
|W276AQ      |103.1 MHz |FX |276 |DA  |-                   |D  |-  |LIC    |FORT LEE                 |NJ |US |BLFT   -20161212AAR |0.035  kW |0.035  kW |0.0     |0.0     |46437      |N |40 |51 |15.00 |W |73  |59 |0.00  |BRIDGELIGHT, LLC                                                            |  79.70 km |  49.52 mi | 34.80 deg |159.   m|159.0  m|125817    |0.      |1261660 |74.    m|1746613   |
